User_ID,Country,Continent,Gender,Age,Occupation,Device_Brand,OS_Type,Daily_Screen_Time_Hours,Social_Media_Usage_Hours,Gaming_Hours,Education_Hours,Entertainment_Hours,Sleep_Hours,Battery_Health,Avg_Battery_Drain_Per_Day,Monthly_Data_Usage_GB,WiFi_Usage_GB,App_Notifications_Received,Screen_Unlocks_Per_Day,Physical_Activity_Level,Sleep_Quality,Stress_Level,Productivity_Score,Weekday_Screen_Time_Hours,Weekend_Screen_Time_Hours
U00033,Japan,Asia,Other,43,Retired,Vivo,iOS,4.3,2.8,0.2,2.9,3.9,6.1,90.9,26.1,18.9,247.9,434,172,Medium,Good,1,60,4.2,8.0
U00034,China,Asia,Female,63,Self-employed,Xiaomi,iOS,3.4,4.4,0.5,1.8,1.5,9.7,99.1,35.3,42.7,151.2,114,48,High,Good,7,68,2.8,5.8
U00035,Australia,Oceania,Other,19,Retired,Samsung,Android,6.0,2.3,0.4,2.9,2.4,7.1,76.9,30.2,32.8,120.3,318,44,Medium,Good,4,58,6.7,5.5
U00036,India,Asia,Other,42,Unemployed,Apple,Android,9.1,2.7,1.7,2.6,1.6,7.2,74.0,10.9,39.0,193.7,405,85,Medium,Good,7,27,4.1,8.4
U00037,Japan,Asia,Male,34,Self-employed,Xiaomi,iOS,8.1,4.1,1.0,1.5,3.1,4.4,81.9,28.7,43.8,285.9,453,165,Medium,Poor,2,14,2.6,6.9
U00038,Germany,Europe,Male,57,Employee,OnePlus,iOS,6.8,3.0,0.7,0.2,0.5,7.0,73.8,14.6,11.2,199.4,442,160,Low,Average,1,44,5.0,4.9
U00039,Pakistan,Asia,Female,39,Unemployed,Xiaomi,Android,5.9,1.3,0.1,0.5,1.1,8.4,75.3,12.7,10.4,149.0,112,182,High,Poor,3,57,4.9,4.6
U00040,Canada,North America,Female,22,Unemployed,OnePlus,Android,9.9,4.0,2.8,0.2,1.1,7.1,94.2,32.4,13.3,78.6,189,130,Medium,Average,3,22,5.4,2.4
U00041,India,Asia,Female,35,Retired,OnePlus,iOS,3.0,0.6,0.8,2.1,3.6,9.1,85.4,26.0,9.8,145.3,430,98,Medium,Good,8,73,2.8,7.4
U00042,Australia,Oceania,Female,38,Unemployed,Huawei,Android,4.5,1.0,2.7,1.8,2.7,4.9,93.7,25.0,8.9,170.4,142,79,Low,Poor,3,53,9.0,8.1
U00043,Brazil,South America,Male,55,Employee,OnePlus,Android,3.9,3.1,1.7,1.1,3.9,6.7,88.2,17.1,9.6,62.8,204,160,Low,Poor,3,54,4.7,6.0
U00044,UK,Europe,Female,29,Retired,Apple,iOS,4.8,2.1,2.9,0.3,1.6,5.7,99.1,36.0,41.8,92.2,404,185,Medium,Good,5,53,7.0,5.0
U00045,Germany,Europe,Male,35,Unemployed,Google Pixel,iOS,6.2,3.6,0.6,1.0,1.7,8.1,85.2,17.3,10.2,191.0,218,44,Low,Poor,1,55,7.3,3.7
U00046,Brazil,South America,Female,45,Employee,Samsung,iOS,5.9,1.8,0.4,0.2,4.0,5.2,79.7,34.3,16.5,210.8,301,76,High,Average,3,53,7.1,9.9
U00047,USA,North America,Female,54,Self-employed,Xiaomi,iOS,1.1,3.8,2.9,0.4,2.9,5.8,98.2,15.4,8.0,227.5,331,189,High,Poor,6,89,8.3,7.5
U00048,Germany,Europe,Female,54,Self-employed,Huawei,Android,6.7,1.2,2.4,2.0,2.1,6.4,80.8,36.3,22.7,248.6,274,177,Medium,Good,4,42,1.9,5.0
U00049,Canada,North America,Female,47,Retired,OnePlus,iOS,2.3,1.4,2.7,1.2,2.2,6.5,97.2,28.7,10.3,283.2,468,115,High,Poor,5,98,3.0,9.3
U00050,Pakistan,Asia,Other,65,Unemployed,Huawei,iOS,6.7,4.1,2.4,0.5,1.2,6.4,77.5,32.3,6.5,179.6,153,47,Medium,Poor,6,69,7.0,7.7
U00051,USA,North America,Female,63,Self-employed,OnePlus,iOS,8.1,3.7,0.4,0.7,2.9,6.2,91.6,29.2,36.2,172.0,200,181,Low,Average,4,25,4.5,4.5
U00052,Brazil,South America,Male,17,Student,OnePlus,iOS,2.4,1.1,1.8,1.5,2.4,9.2,70.5,36.2,46.9,178.2,89,36,High,Good,6,80,7.0,7.4
U00053,Australia,Oceania,Female,15,Retired,Oppo,Android,4.4,2.2,2.2,2.8,3.7,7.7,83.5,13.4,49.3,254.9,303,127,Medium,Average,8,78,6.1,9.2
U00054,Canada,North America,Other,19,Retired,Vivo,iOS,2.6,3.7,0.0,1.0,1.6,9.3,86.1,37.6,20.6,117.1,372,84,High,Poor,4,74,5.3,10.3
U00055,USA,North America,Female,45,Student,Vivo,iOS,5.5,2.5,1.3,2.7,1.4,4.7,87.4,29.0,5.6,205.8,224,188,High,Poor,4,53,5.5,4.8
U00056,Brazil,South America,Male,31,Employee,OnePlus,Android,11.1,1.3,2.7,0.6,0.8,7.1,71.1,24.2,30.4,38.4,101,42,Medium,Poor,5,10,5.5,10.0
U00057,China,Asia,Male,37,Employee,Google Pixel,Android,0.7,1.1,0.5,2.6,3.8,8.6,81.2,18.1,34.0,134.4,267,31,Medium,Average,7,73,7.9,9.5
U00058,Brazil,South America,Other,62,Retired,Huawei,Android,7.4,3.1,0.7,0.3,1.0,5.3,91.7,35.7,42.4,131.2,289,112,Medium,Good,3,45,3.8,8.2
U00059,USA,North America,Other,35,Retired,Huawei,Android,7.2,2.2,2.7,2.5,1.4,6.5,77.8,21.4,31.6,95.1,374,144,Medium,Good,5,29,3.4,10.5
U00060,Canada,North America,Female,61,Retired,Xiaomi,iOS,1.8,3.6,0.4,2.6,1.9,9.5,96.8,34.0,24.1,26.3,126,116,Medium,Average,5,84,6.6,3.6
U00061,USA,North America,Female,60,Self-employed,Vivo,iOS,3.3,4.4,1.6,0.5,1.1,8.1,70.6,37.4,10.3,181.4,296,73,High,Good,5,71,6.8,3.6
U00062,China,Asia,Male,27,Unemployed,Xiaomi,Android,8.1,2.9,2.0,0.5,3.7,7.7,82.6,21.5,28.4,33.2,110,153,Medium,Average,5,45,7.0,5.5
U00063,India,Asia,Female,60,Employee,Samsung,Android,6.4,1.7,1.1,2.2,1.2,5.9,87.0,24.3,34.9,282.3,497,80,High,Good,3,34,4.3,8.4
U00064,UK,Europe,Female,44,Student,Apple,Android,4.8,1.8,2.3,0.3,0.3,7.2,91.8,24.9,36.0,141.8,404,35,High,Good,10,60,7.4,5.9
U00065,Pakistan,Asia,Female,28,Retired,Google Pixel,iOS,7.3,1.9,0.3,2.8,0.5,8.5,98.5,23.4,13.3,171.7,119,184,High,Poor,6,25,6.8,8.2
U00066,Australia,Oceania,Male,60,Student,Huawei,Android,7.1,1.5,1.5,0.7,4.0,8.6,98.3,11.2,36.8,279.1,282,91,Medium,Good,6,47,6.5,4.4
U00067,Australia,Oceania,Other,23,Employee,Oppo,Android,3.8,3.9,2.5,1.0,3.3,8.6,71.1,27.9,15.4,53.8,269,121,Medium,Good,4,76,6.4,6.0
U00068,Pakistan,Asia,Female,45,Retired,Apple,Android,8.5,2.7,2.4,1.0,2.5,5.7,96.6,28.5,15.5,26.8,193,159,Low,Good,4,27,6.2,9.1
U00069,Australia,Oceania,Female,63,Student,OnePlus,iOS,5.0,4.0,3.0,2.3,1.7,9.1,82.6,32.1,15.7,50.9,318,181,Low,Poor,9,56,3.3,5.2
U00070,Japan,Asia,Other,60,Retired,Apple,Android,4.0,2.0,2.0,0.7,3.8,5.8,93.6,12.7,23.8,266.2,128,109,Medium,Average,4,70,5.9,8.3
U00071,Australia,Oceania,Other,35,Retired,OnePlus,iOS,3.8,2.9,1.5,0.7,0.7,7.6,76.6,15.6,40.1,118.0,65,75,Low,Good,5,74,8.8,5.9
U00072,Canada,North America,Other,54,Self-employed,Apple,iOS,4.3,1.4,1.6,1.8,2.3,7.7,72.7,36.3,17.0,56.3,272,77,Low,Poor,3,71,6.6,7.7
U00073,India,Asia,Other,29,Self-employed,Apple,iOS,7.3,2.0,0.8,2.2,2.0,10.0,72.4,16.6,35.7,41.3,287,35,Low,Good,4,33,6.0,9.4
U00074,China,Asia,Male,38,Employee,OnePlus,Android,11.1,3.2,1.7,0.8,3.5,6.2,93.9,29.8,43.3,262.8,399,94,Low,Average,4,21,7.6,8.0
U00075,China,Asia,Male,25,Employee,Google Pixel,Android,8.1,1.1,2.6,2.6,0.1,8.8,94.8,13.9,20.1,228.2,338,191,Medium,Poor,7,41,6.7,6.2
U00076,China,Asia,Other,22,Unemployed,Samsung,Android,6.1,3.0,0.8,1.9,2.2,8.9,93.4,13.2,39.2,171.6,348,90,Low,Average,5,51,5.8,7.6
U00077,UK,Europe,Female,59,Employee,OnePlus,iOS,7.2,1.7,2.1,0.2,2.3,7.3,80.4,28.6,7.1,264.0,424,45,High,Good,4,44,4.9,7.8
U00078,Germany,Europe,Other,53,Self-employed,Vivo,Android,9.1,1.6,3.0,1.3,1.8,6.9,74.9,33.8,36.2,81.8,322,101,Low,Poor,3,46,6.5,5.9
U00079,Pakistan,Asia,Male,27,Employee,Oppo,iOS,3.4,2.2,1.9,1.2,1.1,8.3,99.5,22.3,45.2,84.4,480,95,Low,Good,6,71,3.5,9.9
U00080,Canada,North America,Male,44,Unemployed,Huawei,Android,5.8,3.6,2.5,2.3,2.5,8.7,73.9,11.0,46.4,192.7,146,148,Medium,Poor,5,58,5.8,9.9
U00081,Australia,Oceania,Other,62,Retired,OnePlus,iOS,4.6,0.8,1.7,0.8,3.2,9.7,79.3,23.7,5.5,40.3,443,88,Medium,Poor,4,48,5.1,2.2
U00082,Brazil,South America,Male,47,Self-employed,OnePlus,iOS,2.8,3.6,0.1,1.4,0.4,8.1,77.3,39.6,11.4,159.7,453,114,Low,Good,6,81,9.0,8.8
U00083,Japan,Asia,Male,27,Unemployed,Oppo,iOS,5.6,0.9,1.1,0.1,0.3,7.0,81.9,14.0,30.5,213.1,448,131,High,Good,5,34,4.9,8.1
U00084,China,Asia,Other,39,Student,Xiaomi,iOS,8.8,3.3,2.6,2.1,3.2,8.4,80.2,34.4,8.6,270.5,195,144,Low,Poor,5,23,8.6,7.4
U00085,Germany,Europe,Other,53,Retired,OnePlus,Android,10.2,0.8,0.2,0.7,0.6,6.0,96.2,16.6,48.9,114.3,309,150,Low,Good,8,20,7.0,5.9
U00086,Pakistan,Asia,Male,25,Retired,Google Pixel,Android,6.0,1.4,3.0,2.9,2.6,10.2,76.0,30.4,8.2,28.6,161,51,Medium,Average,8,56,5.5,3.7
U00087,China,Asia,Female,48,Unemployed,OnePlus,Android,6.8,1.9,1.1,3.0,0.2,8.0,96.0,27.4,24.7,223.1,221,199,Low,Average,4,61,8.2,6.9
U00088,Canada,North America,Other,20,Self-employed,OnePlus,Android,5.7,4.1,0.6,1.9,2.5,8.3,92.0,13.9,37.2,274.5,417,188,Low,Poor,6,38,4.9,5.7
U00089,Pakistan,Asia,Male,34,Retired,OnePlus,iOS,5.9,2.3,1.5,1.1,2.4,8.8,74.9,21.7,48.6,92.3,388,183,High,Poor,6,49,3.4,9.3
U00090,Japan,Asia,Other,64,Student,Xiaomi,iOS,5.1,1.4,0.2,0.5,2.1,7.5,80.1,34.9,24.4,89.6,295,63,Low,Poor,4,63,9.0,8.7
U00091,Germany,Europe,Female,65,Employee,Google Pixel,Android,5.3,3.9,2.4,1.8,3.5,6.5,76.2,13.4,17.1,36.0,98,152,High,Good,4,78,7.5,7.1
U00092,Japan,Asia,Female,17,Self-employed,Apple,Android,7.5,0.7,0.4,3.0,3.9,6.9,70.1,38.6,33.8,263.0,51,63,Medium,Good,5,20,8.0,1.2
U00093,Japan,Asia,Other,19,Retired,Apple,iOS,10.2,1.3,2.0,2.9,0.4,6.8,90.2,23.3,44.1,69.6,131,121,High,Good,7,8,7.7,8.0
U00094,Germany,Europe,Male,26,Unemployed,Oppo,Android,6.3,4.0,1.7,0.1,3.7,7.5,90.7,30.3,14.7,204.5,324,171,High,Poor,9,49,9.3,4.7
U00095,USA,North America,Other,29,Unemployed,Samsung,iOS,6.6,4.0,2.3,1.7,3.0,5.9,96.4,22.1,19.7,206.9,423,56,Medium,Poor,4,50,7.2,8.4
U00096,USA,North America,Other,24,Unemployed,Xiaomi,iOS,5.4,2.7,0.0,1.0,1.5,9.1,81.9,30.9,22.5,145.6,320,117,Medium,Good,4,58,4.7,4.4
U00097,UK,Europe,Female,41,Employee,Google Pixel,Android,9.3,2.0,2.6,1.6,1.9,8.5,70.8,20.2,22.1,131.7,197,175,Low,Good,3,48,8.0,11.9
U00098,Japan,Asia,Female,58,Unemployed,Samsung,iOS,8.8,4.3,0.1,0.6,0.0,7.8,89.4,36.9,16.0,279.6,364,35,Low,Poor,6,38,4.5,6.4
U00099,Brazil,South America,Male,44,Self-employed,OnePlus,iOS,2.6,3.7,1.6,0.9,2.4,6.9,91.5,18.2,23.6,54.1,122,36,High,Poor,3,68,7.1,5.1
U00100,Japan,Asia,Female,34,Employee,Xiaomi,Android,6.2,2.8,0.8,2.9,1.9,5.0,94.2,26.5,7.0,197.3,150,181,Medium,Good,3,53,6.2,8.1
U00101,Germany,Europe,Female,48,Employee,Google Pixel,Android,6.1,2.9,1.2,2.5,3.6,7.1,80.6,17.1,40.1,96.9,468,168,High,Good,3,44,5.4,9.5
U00102,Brazil,South America,Male,44,Retired,Oppo,Android,4.7,2.8,0.5,2.2,3.5,7.4,76.5,12.9,6.1,199.8,383,118,Low,Average,3,83,7.9,11.4
U00103,Brazil,South America,Other,30,Retired,Vivo,Android,4.9,4.5,0.4,2.1,1.6,4.9,82.8,31.5,36.2,297.6,253,196,Medium,Poor,4,86,7.1,10.3
U00104,USA,North America,Female,29,Retired,OnePlus,iOS,5.2,1.4,1.1,0.2,2.1,6.7,72.0,34.0,15.5,171.2,56,32,High,Good,3,48,6.7,8.7
U00105,Australia,Oceania,Other,30,Student,Google Pixel,Android,2.0,4.5,2.0,1.7,2.9,7.6,84.0,11.8,30.3,288.1,457,189,High,Average,7,71,7.1,5.2
U00106,Canada,North America,Female,62,Retired,Huawei,Android,6.3,3.5,1.0,2.0,3.2,4.9,97.8,17.0,23.0,62.7,331,63,High,Poor,4,40,8.4,7.3
U00107,Japan,Asia,Other,21,Student,Vivo,Android,10.6,1.0,2.5,2.3,2.8,7.6,71.1,19.1,16.8,120.8,264,140,Medium,Average,5,12,2.3,8.0
U00108,Canada,North America,Other,32,Self-employed,OnePlus,iOS,3.8,4.2,1.5,3.0,3.4,3.8,76.3,37.9,10.2,248.9,127,170,Medium,Average,5,94,7.8,6.4
U00109,India,Asia,Male,30,Self-employed,Oppo,iOS,6.5,0.8,1.2,0.5,2.8,7.5,80.4,39.3,33.8,250.3,52,110,Medium,Average,3,57,5.9,8.6
U00110,Canada,North America,Male,61,Retired,Xiaomi,Android,8.8,2.1,0.4,1.1,0.3,7.8,70.8,14.1,48.3,173.9,103,168,High,Good,5,16,5.9,8.0
U00111,UK,Europe,Other,28,Self-employed,Apple,Android,6.1,3.1,0.6,1.9,2.6,4.0,74.6,11.8,40.1,148.7,247,182,High,Average,3,49,6.3,6.3
U00112,China,Asia,Male,49,Employee,OnePlus,iOS,4.8,2.5,3.0,2.4,2.5,6.5,79.2,28.7,28.7,139.3,370,86,Low,Good,4,63,3.3,6.6
U00113,Germany,Europe,Male,30,Unemployed,Huawei,Android,3.7,3.6,0.0,1.2,1.9,4.3,70.6,17.8,39.2,58.4,68,45,Low,Good,6,77,3.0,7.4
U00114,Brazil,South America,Male,36,Self-employed,OnePlus,iOS,6.0,2.3,2.5,0.3,2.0,7.9,74.5,19.7,38.2,153.3,297,70,Medium,Average,5,42,3.3,3.8
U00115,Pakistan,Asia,Other,32,Student,Apple,Android,8.9,3.3,1.3,0.8,3.4,6.7,71.2,37.1,25.8,198.4,324,140,Medium,Good,3,39,7.5,7.6
U00116,Germany,Europe,Other,50,Retired,Google Pixel,iOS,8.6,1.1,2.2,1.5,2.7,9.3,71.3,12.5,37.2,40.2,388,35,Medium,Good,5,23,3.3,5.1
U00117,Brazil,South America,Female,48,Student,Vivo,iOS,8.4,1.2,0.3,2.0,3.1,6.0,78.0,10.6,8.7,291.0,474,37,Medium,Good,2,38,8.0,5.5
U00118,China,Asia,Male,31,Unemployed,Samsung,iOS,3.2,3.0,2.3,1.9,2.1,9.3,71.3,39.1,40.9,102.0,170,176,Low,Average,4,71,6.1,7.5
U00119,Germany,Europe,Male,24,Employee,Samsung,iOS,9.1,1.0,1.0,2.8,0.9,7.8,81.2,23.0,24.8,191.6,497,105,High,Poor,6,37,5.6,6.4
U00120,UK,Europe,Male,21,Retired,Huawei,iOS,6.6,3.9,2.5,2.8,1.0,8.2,92.7,23.8,42.9,224.0,299,69,High,Average,6,41,7.3,9.3
U00121,India,Asia,Female,32,Employee,Oppo,Android,6.4,3.8,0.6,1.5,3.4,5.1,92.0,26.3,31.6,162.3,423,197,High,Poor,5,42,7.1,3.5
U00122,India,Asia,Other,30,Self-employed,OnePlus,iOS,7.5,1.1,1.4,0.0,1.0,7.6,91.8,39.8,9.5,132.4,64,42,Medium,Good,7,46,4.8,8.2
U00123,Australia,Oceania,Other,51,Student,Samsung,iOS,9.3,1.9,2.4,1.7,0.0,7.6,92.8,11.1,38.6,76.7,422,94,High,Poor,2,30,5.8,7.8
U00124,Brazil,South America,Female,51,Unemployed,Xiaomi,Android,4.2,4.5,1.1,1.3,2.9,6.3,96.6,27.8,22.6,135.5,331,133,High,Poor,6,62,2.9,9.5
U00125,Canada,North America,Female,26,Unemployed,OnePlus,iOS,4.9,2.8,1.7,1.7,2.4,10.8,90.3,34.1,17.1,251.0,149,187,High,Poor,3,62,4.4,7.0
U00126,Japan,Asia,Male,43,Retired,Apple,iOS,5.7,3.7,1.6,1.3,0.6,6.3,79.8,23.0,9.0,81.8,449,35,Medium,Good,6,63,9.0,8.3
U00127,Brazil,South America,Male,33,Self-employed,Apple,Android,4.0,1.0,1.2,2.5,1.5,9.8,87.2,27.6,13.3,121.4,376,190,High,Poor,7,73,6.3,3.5
U00128,India,Asia,Other,41,Student,Vivo,iOS,6.6,4.0,2.5,0.6,3.2,6.8,83.7,24.5,11.0,42.6,388,78,Low,Good,4,31,5.9,10.5
U00129,China,Asia,Male,62,Retired,OnePlus,iOS,9.3,2.9,0.4,2.3,2.6,6.3,98.7,12.1,7.6,99.0,187,193,Low,Poor,3,30,4.2,5.3
U00130,Japan,Asia,Male,24,Employee,Samsung,Android,5.5,2.3,2.3,0.2,2.0,7.6,71.0,11.9,45.8,59.0,85,164,Medium,Poor,6,47,1.2,8.8
U00131,Pakistan,Asia,Male,46,Self-employed,Apple,Android,7.5,4.2,0.2,1.3,1.0,6.6,91.9,39.4,16.5,203.2,353,124,Low,Good,5,45,6.6,4.3
U00132,China,Asia,Female,27,Self-employed,Oppo,iOS,6.9,1.0,0.5,0.7,1.0,6.9,95.5,26.8,28.6,52.1,350,103,Low,Poor,1,56,6.9,8.4
U00133,Canada,North America,Other,16,Student,Huawei,Android,6.4,2.3,1.5,0.5,3.8,6.4,95.5,30.1,25.8,135.3,122,114,Low,Average,3,49,7.2,11.1
U00134,China,Asia,Other,21,Retired,Oppo,iOS,6.0,0.7,2.4,0.6,1.0,5.9,74.9,19.9,39.1,165.4,314,31,Low,Poor,4,65,6.6,6.5
U00135,Brazil,South America,Female,33,Student,Oppo,Android,5.4,2.7,1.5,0.3,2.6,4.7,94.7,21.4,39.9,290.1,322,173,Medium,Average,6,56,6.2,4.1
U00136,Australia,Oceania,Male,22,Unemployed,Xiaomi,iOS,7.8,3.7,1.2,2.7,2.1,6.0,74.7,30.9,40.7,108.7,246,121,High,Poor,8,48,5.3,6.2
U00137,China,Asia,Female,37,Self-employed,Apple,Android,4.1,0.8,2.6,2.4,2.0,7.6,99.0,22.5,49.3,207.0,207,103,Medium,Poor,9,56,3.9,7.9
U00138,Germany,Europe,Female,34,Student,Samsung,Android,5.6,3.4,2.7,0.2,2.9,8.5,75.6,35.7,41.9,171.4,110,32,Low,Good,7,81,4.0,9.3
U00139,Germany,Europe,Male,34,Self-employed,Apple,iOS,8.6,2.5,2.5,1.0,0.7,6.8,91.4,34.8,9.5,87.2,488,118,Low,Average,1,25,5.2,5.2
U00140,Germany,Europe,Male,55,Student,Huawei,iOS,9.2,1.9,2.5,1.4,3.9,6.5,89.0,13.8,35.4,111.0,435,111,High,Average,7,41,5.1,7.4
U00141,Germany,Europe,Female,26,Retired,Huawei,iOS,6.6,1.6,1.9,2.1,2.1,6.6,79.2,16.4,6.5,105.1,310,134,Low,Poor,6,42,7.0,7.4
U00142,UK,Europe,Female,37,Unemployed,OnePlus,iOS,6.7,1.5,2.7,2.0,2.2,7.7,73.3,23.4,25.7,262.1,428,200,Medium,Poor,6,57,1.7,8.7
U00143,India,Asia,Female,25,Student,Oppo,iOS,4.9,1.6,2.6,0.9,3.6,6.9,92.6,34.1,5.8,289.6,499,59,Medium,Poor,5,62,4.1,9.2
U00144,China,Asia,Male,47,Self-employed,Huawei,iOS,4.9,0.9,0.7,0.0,1.9,8.2,79.0,28.0,18.4,104.0,298,35,Medium,Good,5,79,7.9,10.4
U00145,Germany,Europe,Female,50,Student,Oppo,iOS,5.8,0.8,2.5,1.8,0.5,6.7,72.8,37.3,35.1,252.2,242,171,Low,Poor,5,65,6.4,9.0
